WQnAxOQxQIU,Savage Garden,Truly Madly Deeply,more,"I'll love you __ with every breath, truly madly deeply do",170490,180310,9820,0,string_ore,string_ore,strings,,,,,,
TGwZ7MNtBFU,Gwen Stefani,Cool,before,It's hard to remember how it felt __,17130,23370,6240,0,string_ore,string_ore,strings,,,,,,
TGwZ7MNtBFU,Gwen Stefani,Cool,more,"Passes things, get __ comfortable",26510,31840,5330,0,string_ore,string_ore,strings,,,,,,
7_weSk0BonM,Leona Lewis,Bleeding Love,before,"Time starts to pass, __ you know it, you're frozen",27750,34310,6560,0,string_ore,string_ore,strings,,,,,,
w4s6H4ku6ZY,Far  East Movement,Like A G6,more,"Now now, give me two __ bottles cause you know it don't stop",42040,46140,4100,1,string_ore,string_ore,strings,,,,,,
ewRjZoRtu0Y,M.I.A,Paper Planes,more,"Yeah, I got __ records than the K.G.B.",148890,153320,4430,1,string_ore,string_ore,strings,,,,,,
VV1XWJN3nJo,Natalie Imbruglia,Torn,adored,Well you couldn't be that man I __,26900,33020,6120,0,string_ore,string_ore,strings,,,,,,
VV1XWJN3nJo,Natalie Imbruglia,Torn,anymore,No I don't know him __,38790,41070,2280,0,string_ore,string_ore,strings,,,,,,
dvgZkm1xWPE,Coldplay,Viva La Vida,foreign,My missionaries in a __ field,79550,83050,3500,0,string_ore,string_ore,strings,,,,,,
dvgZkm1xWPE,Coldplay,Viva La Vida,foreign,My missionaries in a __ field,149240,152990,3750,0,string_ore,string_ore,strings,,,,,,
dvgZkm1xWPE,Coldplay,Viva La Vida,foreign,My missionaries in a __ field,204800,208300,3500,0,string_ore,string_ore,strings,,,,,,
CD-E-LDc384,Metallica,Enter Sandman,before,If I die __ I wake,215300,217400,2100,0,string_ore,string_ore,strings,,,,,,
CD-E-LDc384,Metallica,Enter Sandman,before,If I die __ I wake,217400,219230,1830,0,string_ore,string_ore,strings,,,,,,
Tj75Arhq5ho,Metallica,Nothing Else Matters,more,Couldn't be much __ from the heart,64860,70130,5270,0,string_ore,string_ore,strings,,,,,,
Tj75Arhq5ho,Metallica,Nothing Else Matters,more,It couldn't be much __ from the heart,149510,154790,5280,0,string_ore,string_ore,strings,,,,,,
Tj75Arhq5ho,Metallica,Nothing Else Matters,more,Couldn't be much __ from the heart,328600,333900,5300,0,string_ore,string_ore,strings,,,,,,
j4y-RzVGrHg,Nickelback,Far Away,anymore,Stop breathing if I don't see you __,57970,65270,7300,1,string_ore,string_ore,strings,,,,,,
j4y-RzVGrHg,Nickelback,Far Away,anymore,Stop breathing if I don't see you __,126350,135710,9360,1,string_ore,string_ore,strings,,,,,,
j4y-RzVGrHg,Nickelback,Far Away,anymore,"Keep breathing, 'cause I'm not leaving you __",200380,207710,7330,1,string_ore,string_ore,strings,,,,,,
BB0DU4DoPP4,Nickelback,Photograph,more,To sing to __ than just a steering wheel,122290,125730,3440,1,string_ore,string_ore,strings,,,,,,
XFkzRNyygfk,Radiohead,Creep,before,When you were here __,19430,23890,4460,1,string_ore,string_ore,strings,,,,,,
6xcwt9mSbYE,The Velvet Underground,Heroin,anymore,I really don't care __,319680,323350,3670,0,string_ore,string_ore,strings,,,,,,
6xcwt9mSbYE,The Velvet Underground,Heroin,anymore,And I really don't care __,368720,378910,10190,0,string_ore,string_ore,strings,,,,,,
kyE4CLM0QIA,Fleetwood Mac,Little Lies,more,No __ broken hearts,87770,91620,3850,0,string_ore,string_ore,strings,,,,,,
AscPOozwYA8,Eric Clapton,Tears In Heaven,more,And I know there'll be no __ tears in heaven,185640,206370,20730,0,string_ore,string_ore,strings,,,,,,
6hzrDeceEKc,Oasis,Wonderwall,before,I'm sure you've heard it all __,66020,67870,1850,0,string_ore,string_ore,strings,,,,,,
zUwEIt9ez7M,Deep Purple,Smoke On The Water,more,You don't want to live you don't want to cry no __,365790,396340,30550,0,string_ore,string_ore,strings,,,,,,
n-cD4oLk_D0,The Smiths,There Is A Light That Never Goes Out,Anymore,__,27230,32430,5200,0,string_ore,string_ore,strings,,,,,,
