,Comments - Diletta,Comments - Patricia,Title,Artist,Date Added,Date Sync,New Youtube ID,Age,Andrea's genre 1,Andrea's genre 2,Andrea's genre 3
,,,Everybody's got somebody but me,Hunter Hayes,9/11/2014,27/8/2014,yVdnvQsKyUs,10's,Pop,Indie/alternative,
,,.,Believer,American Authors,9/11/2014,27/8/2014,DYj40-cZ5vI,10's,Pop,Indie/alternative,
,,.,Oblivion,Bastille,9/11/2014,27/8/2014,VgXOPeobPcI,10's,Pop,Indie/alternative,
,,,Don't stop,5 seconds of summer,3/11/2014,27/8/2014,MKfzMOC19Fc,10's,Rock,Teenpop,
,,,Wild Heart,The Vamps,,28/8/2014,sCDdQwVRwxM,10's,Pop,Teenpop,
,,,The scientist,Coldplay,,11/7/2014,RB-RcX5DS5A,00's,Rock,,
,,,We will rock you,Queen,,11/7/2014,-tJYN-eG1zk,70's,Rock,,
,,,Use somebody,Kings of leon,,14/07/2014,gnhXHvRoUd0,00's,Rock,,
,,,Wait for me ,Kings of leon,,14/07/2014,G6ZiXEXg1KY,00's,Rock,Indie/alternative,
,,,Too many friends,Placeboo,,15/07/2014,p21YfobjaVA,10's,Rock,Indie/alternative,
,,,Loud like love,Oasis,,21/07/2014,6hzrDeceEKc,90's,Rock,,
,,,Let me go,Avril Lavigne,,23/07/2014,AqajUg85Ax4,10's,Pop,Rock,
,,,Someone like you,Adele,,30/07/2014,hLQl3WQQoQ0,10's,Pop,,
,,,Skyscraper,Demi Lovato,,30/07/2014,r_8ydghbGSg,10's,Pop,Teenpop,
,,,Clarity,Zedd,,30/07/2014,IxxstCcJlsc,10's,Pop,Dance,
,,,Let her go,Passenger,,29/07/2014,RBumgq5yVrA,10's,Pop,,
,,,Bonfire heart,James Blunt,,12/8/2014,g1j1qwQQ8-Q,10's,Pop,,
,,,Top of the world,Imagine Dragons,,12/8/2014,w5tWYmIOWGk,10's,Indie/alternative,,
,,,Happy,Pharrell Williams,,13/8/2014,y6Sxv-sUYtM,10's,Pop,Indie/alternative,
,,,Beautiful times,Owl City,,13/8/2014,gfA-tPKPoNs,10's,Pop,Dance,
,,,Walk on ,U2,,14/8/2014,gwKEdFoUB0o,00's,Rock,,
,,,The sweetest thing,U2,,14/8/2014,5WybiA263bw,90's,Rock,,
SONGS FOR ADULTS,,,,,,,,,,,
A,,,Somethin' bad,Miranda Lambert,,13/8/2014,o4Yzj-m_SBk,10's,Rock,,
A,,.,This is love,Will.i.am,,30/10/2014,9I9Ar6upx34,10's,Dance,Hip-hop/R&B,
A,,.,Hot n cold,Katy Perry,,30/9/2014,kTHNpusq654,00's,Pop,Teenpop,
